name,sci,kingdom,phylum,class,order,family,genus,mass_g,wild,captive,unrecorded,average,maximum,colonial,pred_global,pred_class,lq_global_maximum,lq_class_maximum,quality,note
"Western long-beaked echidna, or Long-nosed echidna",Zaglossus bruijni,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Zaglossus,7500.0,,41.2,,41.2,41.2,False,20.525,15.5064,2.0073,2.657,B,
Dover sole,Microstomus pacificus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,3500.0,45.0,,,45.0,45.0,False,17.781,16.9477,2.5308,2.6552,B,
Senegal parrot,Poicephalus senegalus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,155.0,,40.0,,40.0,40.0,False,9.8865,15.0813,4.0459,2.6523,B,
Brown Titi,Callicebus brunneus,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,958.13,,,26.4,26.4,26.4,False,13.9318,9.9589,1.8949,2.6509,B,
Sandstone Night Lizard,Xantusia gracilis,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,4.02,,,14.3,14.3,14.3,False,4.9702,5.3968,2.8771,2.6497,B,
Granite night lizard,Xantusia henshawi,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,4.02,,14.3,,14.3,14.3,False,4.9702,5.3968,2.8771,2.6497,B,
Lesser Dog-like Bat,Peropteryx macrotis,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Peropteryx,230.99,,,19.4,19.4,19.4,False,10.6578,7.3327,1.8203,2.6457,B,
Whitetail major,Stegastes leucorus,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Pomacentridae,Stegastes,98.3591,19.0,,,19.0,19.0,False,9.0751,7.1972,2.0936,2.6399,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Chocolate wattled bat,Chalinolobus morio,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,8.91,9.6,,,9.6,9.6,False,5.7738,3.6396,1.6627,2.6377,B,
Mimic surgeonfish,Acanthurus pyroferus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,503.289,28.0,,,28.0,28.0,False,12.3412,10.6455,2.2688,2.6302,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Dwarf mongoose,Helogale parvula,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Helogale,274.8,,20.0,,20.0,20.0,False,11.0121,7.6119,1.8162,2.6275,B,
White tern,Gygis alba,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gygis,98.1,35.9,,,35.9,35.9,False,9.0706,13.6637,3.9579,2.6274,B,
Sugar glider,Petaurus breviceps,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,130.0,9.0,17.0,,13.0,17.0,False,9.5644,6.4795,1.7774,2.6237,B,
Bolivian titi,Plecturocebus donacophilus,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Plecturocebus,795.0,,25.0,,25.0,25.0,False,13.4507,9.5669,1.8586,2.6132,B,
Siamang,Symphalangus syndactylus,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Symphalangus,11000.0,30.0,44.0,,37.0,44.0,False,22.0599,16.8385,1.9946,2.6131,B,
Little corella,Cacatua sanguinea,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,350.0,,46.9,,46.9,46.9,False,11.5253,17.9792,4.0693,2.6086,B,
Deacon rockfish,Sebastes diaconus,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,910.038,32.0,,,32.0,32.0,False,13.7974,12.27,2.3193,2.608,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Coppery Titi,Callicebus cupreus,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,1037.58,,,26.4,26.4,26.4,False,14.1424,10.1311,1.8667,2.6058,B,
White-tailed titi,Callicebus discolor,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,1037.58,,,26.4,26.4,26.4,False,14.1424,10.1311,1.8667,2.6058,B,
Ornate Titi,Callicebus ornatus,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,1037.58,,,26.4,26.4,26.4,False,14.1424,10.1311,1.8667,2.6058,B,
Long-tailed macaque,Macaca fascicularis,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,6362.5,,39.0,,39.0,39.0,False,19.899,14.9672,1.9599,2.6057,B,
Northern Broad-nosed Bat,Scotorepens sanborni,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,9.915,,,9.7,9.7,9.7,False,5.8912,3.7242,1.6465,2.6046,B,
Yellow-naped parrot,Amazona auropalliata,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,432.16,,49.0,,49.0,49.0,False,11.9922,18.8162,4.086,2.6041,B,
nan,Epiplatys bifasciatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Epiplatys,1.6261,,,7.0,7.0,7.0,False,4.1914,2.6914,1.6701,2.6009,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Lyle's flying fox,Pteropus lylei,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,316.7,,20.4,,20.4,20.4,False,11.3104,7.8479,1.8037,2.5994,B,
Pileated gibbon,Hylobates pileatus,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,5735.0,,38.0,,38.0,38.0,False,19.5137,14.6365,1.9473,2.5963,B,
Palm cockatoo,Probosciger aterrimus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Probosciger,841.0,,56.3,,56.3,56.3,False,13.5939,21.7234,4.1416,2.5917,B,
Gray Slender Loris,Loris lydekkerianus,Animalia,Chordata,Mammalia,Primates,Lorisidae,Loris,249.22,,,19.3,19.3,19.3,False,10.8114,7.4535,1.7852,2.5894,B,
Bluespine unicornfish,Naso unicornis,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Naso,8666.37,54.5,,,54.5,54.5,False,21.0913,21.0633,2.584,2.5874,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
New Zealand longfin eel,Anguilla dieffenbachii,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,13000.0,60.0,,,60.0,60.0,False,22.7649,23.2141,2.6356,2.5846,B,
Noctule,Nyctalus noctula,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,27.75,12.0,,,12.0,12.0,False,7.151,4.6475,1.6781,2.582,B,
Blue-fronted amazon,Amazona aestiva,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,451.0,,49.0,,49.0,49.0,False,12.0889,18.9902,4.0533,2.5803,B,
Blue antimora,Antimora rostrata,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Antimora,3600.0,44.0,,,44.0,44.0,False,17.8756,17.0626,2.4615,2.5787,C,
nan,Limnocottus pallidus,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Cottidae,Limnocottus,16.0,12.0,,,12.0,12.0,False,6.4467,4.6565,1.8614,2.577,C,
Red abalone,Haliotis rufescens,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,700.0,54.0,,,54.0,54.0,False,13.1322,20.9874,4.112,2.573,B,
Laysan albatross,Phoebastria immutabilis,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,3100.0,74.0,,,74.0,74.0,False,17.3793,28.7862,4.2579,2.5707,A,Wisdom banded 1956 and still breeding
"Southern talapoin monkey, or Talapoin",Miopithecus talapoin,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Miopithecus,1384.5,,27.7,,27.7,27.7,False,14.9318,10.7799,1.8551,2.5696,B,
(Florida) Gopher Tortoise,Gopherus polyphemus,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,4142.0,,,60.0,60.0,60.0,False,18.3539,23.3616,3.2691,2.5683,B,
Horsfield's Tarsier,Tarsius bancanus,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,118.445,,,16.3,16.3,16.3,False,9.3983,6.351,1.7344,2.5665,B,
Spinyhead blenny,Acanthemblemaria spinosa,Animalia,Chordata,Actinopterygii,Blenniiformes,Chaenopsidae,Acanthemblemaria,0.1673,,,4.0,4.0,4.0,False,2.7315,1.5602,1.4644,2.5638,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Coppery titi,Plecturocebus cupreus,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Plecturocebus,1120.0,,26.4,,26.4,26.4,False,14.3474,10.2991,1.84,2.5633,B,
Philippine Tarsier,Tarsius syrichta,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,114.455,,,16.1333,16.1333,16.1333,False,9.3378,6.3043,1.7277,2.5591,B,
Eastern Long-beaked Echidna,Zaglossus bartoni,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Zaglossus,8951.71,,,41.2,41.2,41.2,False,21.2204,16.1082,1.9415,2.5577,B,
Prevost's squirrel,Callosciurus prevostii,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,400.0,,21.1,,21.1,21.1,False,11.8188,8.2524,1.7853,2.5568,B,
Gray-headed flying fox,Pteropus poliocephalus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,675.0,,23.6,,23.6,23.6,False,13.0426,9.2359,1.8095,2.5553,B,
Orangespot surgeonfish,Acanthurus olivaceus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,1127.73,33.0,,,33.0,33.0,False,14.366,12.9175,2.2971,2.5547,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Liontail macaque,Macaca silenus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,7875.0,,40.0,,40.0,40.0,False,20.7144,15.6701,1.931,2.5526,A,
Orangespine unicornfish,Naso lituratus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Naso,2286.0,,,39.0,39.0,39.0,False,16.4105,15.3023,2.3765,2.5486,C,
Western tarsier,Cephalopachus bancanus,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Cephalopachus,122.5,,16.3,,16.3,16.3,False,9.458,6.3972,1.7234,2.548,B,
Sykes' Monkey,Cercopithecus albogularis,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,6116.5,,,37.8,37.8,37.8,False,19.7518,14.8407,1.9137,2.547,B,
Silver Monkey,Cercopithecus doggetti,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,6116.5,,,37.8,37.8,37.8,False,19.7518,14.8407,1.9137,2.547,B,
Golden Monkey,Cercopithecus kandti,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,6116.5,,,37.8,37.8,37.8,False,19.7518,14.8407,1.9137,2.547,B,
Twospot astyanax,Astyanax bimaculatus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,91.6,18.0,,,18.0,18.0,False,8.9542,7.0754,2.0102,2.544,B,
Rhesus macaque,Macaca mulatta,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,8000.0,30.0,40.0,,35.0,40.0,False,20.7759,15.7233,1.9253,2.544,A,
Scaly-breasted lorikeet,Trichoglossus chlorolepidotus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,87.0,33.8,,,33.8,33.8,False,8.8678,13.3142,3.8115,2.5386,B,
Sumatran Orangutan,Pongo abelii,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,53408.3,,,60.0,60.0,60.0,False,29.7043,23.6575,2.0199,2.5362,B,
Daubed shanny,Leptoclinus maculatus,Animalia,Chordata,Actinopterygii,Perciformes/Zoarcoidei,Lumpenidae,Leptoclinus,17.2,,,12.0,12.0,12.0,False,6.5351,4.738,1.8362,2.5327,C,
Prince Demidoff's Bushbaby,Galago demidoff,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,63.1,,,14.0,14.0,14.0,False,8.3474,5.5461,1.6772,2.5243,B,
Leopard tortoise,Stigmochelys pardalis,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,13000.0,50.0,75.0,,62.5,75.0,False,22.7649,29.7453,3.2946,2.5214,B,
Diana monkey,Cercopithecus diana,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,4550.0,,35.1,,35.1,35.1,False,18.6815,13.9253,1.8789,2.5206,B,
Waterhouse's leaf-nosed bat,Macrotus waterhousii,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,16.0,10.4,,,10.4,10.4,False,6.4467,4.1282,1.6132,2.5193,B,
Thomas's Bushbaby,Galago thomasi,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,63.8,,,14.0,14.0,14.0,False,8.3647,5.5593,1.6737,2.5183,B,
Philippine tarsier,Carlito syrichta,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Carlito,119.2,,16.0,,16.0,16.0,False,9.4095,6.3597,1.7004,2.5158,B,
Western broad-nosed bat,Scotorepens balstoni,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,11.7,,9.7,,9.7,9.7,False,6.0777,3.8593,1.596,2.5134,B,
Southern whitetail major,Stegastes beebei,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Pomacentridae,Stegastes,120.811,,,19.0,19.0,19.0,False,9.4333,7.5609,2.0141,2.5129,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Kloss's gibbon,Hylobates klossii,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,5900.0,,37.0,,37.0,37.0,False,19.6182,14.7261,1.886,2.5125,B,
Goeldi's monkey,Callimico goeldii,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callimico,555.0,,22.2,,22.2,22.2,False,12.5706,8.8549,1.766,2.5071,A,
Wied's black-tufted-ear marmoset,Callithrix kuhlii,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,342.0,,20.0,,20.0,20.0,False,11.4753,7.9788,1.7429,2.5066,B,
Bronze seabream,Pachymetopon grande,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Pachymetopon,2200.0,,,38.0,38.0,38.0,False,16.2924,15.1622,2.3324,2.5062,C,
Vermilion rockfish,Sebastes miniatus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,3700.0,43.0,,,43.0,43.0,False,17.968,17.1751,2.3931,2.5036,B,
Gopher rockfish,Sebastes carnatus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,824.878,30.0,,,30.0,30.0,False,13.5445,11.9843,2.2149,2.5033,B,
Chestnut-collared Swallow,Petrochelidon rufocollaris,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,19.0,,,24.0,24.0,24.0,False,6.6587,9.5881,3.6043,2.5031,B,
Indian Eagle-Owl,Bubo bengalensis,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,2380.0,,,68.0,68.0,68.0,False,16.5355,27.1904,4.1124,2.5009,B,
Golden redfish,Sebastes norvegicus,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,15000.0,60.0,,,60.0,60.0,False,23.3866,24.0244,2.5656,2.4975,C,
Northern cardinal,Cardinalis cardinalis,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,42.6,,,28.5,28.5,28.5,False,7.7521,11.413,3.6764,2.4972,B,
-999,Xantusia extorris,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,1.475,,,10.9,10.9,10.9,False,4.1151,4.3668,2.6488,2.4961,B,
-999,Xantusia gilberti,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,1.475,,,10.9,10.9,10.9,False,4.1151,4.3668,2.6488,2.4961,B,
Sierra Night Lizard,Xantusia sierrae,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,1.475,,,10.9,10.9,10.9,False,4.1151,4.3668,2.6488,2.4961,B,
Desert night lizard,Xantusia vigilis,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,1.475,,10.9,,10.9,10.9,False,4.1151,4.3668,2.6488,2.4961,B,
-999,Xantusia wigginsi,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,1.475,,,10.9,10.9,10.9,False,4.1151,4.3668,2.6488,2.4961,B,
Ball python,Python regius,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,1500.0,15.0,47.0,,31.0,47.0,False,15.1588,18.851,3.1005,2.4932,A,
Red saddleback anemonefish,Amphiprion ephippium,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,61.0185,16.0,,,16.0,16.0,False,8.2948,6.4187,1.9289,2.4927,B,
Bonobo,Pan paniscus,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,39000.0,40.0,55.0,,47.5,55.0,False,27.9968,22.1099,1.9645,2.4876,B,
Arizona Night Lizard,Xantusia arizonae,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,1.5,,,10.9,10.9,10.9,False,4.1282,4.3824,2.6404,2.4872,B,
Southern blue whiting,Micromesistius australis,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,850.0,30.0,,,30.0,30.0,False,13.6212,12.0708,2.2024,2.4853,C,
Southern forest bat,Vespadelus regulus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,5.05,8.0,,,8.0,8.0,False,5.1884,3.221,1.5419,2.4837,B,
Pallid sturgeon,Scaphirhynchus albus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus,130000.0,,,100.0,100.0,100.0,False,35.1211,40.3202,2.8473,2.4801,C,
Desert Pipistrelle,Pipistrellus deserti,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,5.095,,,8.0,8.0,8.0,False,5.197,3.2271,1.5393,2.479,B,
Bornean orangutan,Pongo pygmaeus,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,55000.0,45.0,59.0,,52.0,59.0,False,29.8691,23.8075,1.9753,2.4782,A,
Northern red snapper,Lutjanus campechanus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,12540.0,57.0,,,57.0,57.0,False,22.611,23.0144,2.5209,2.4767,B,
Canary,Serinus canaria,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,20.0,10.0,24.0,,17.0,24.0,False,6.7234,9.6948,3.5696,2.4756,B,
Pacific spiny dogfish,Squalus suckleyi,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,29700.8,,,70.0,70.0,70.0,False,26.597,28.3001,2.6319,2.4735,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Pharaoh Eagle-Owl,Bubo ascalaphus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,2533.0,,,68.0,68.0,68.0,False,16.7306,27.5584,4.0644,2.4675,B,
Lowe's Mona Monkey,Cercopithecus lowei,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,3800.0,,,33.0,33.0,33.0,False,18.0585,13.3959,1.8274,2.4634,B,
MacGregor's New Zealand Skink,Oligosoma macgregori,Animalia,Chordata,Reptilia,Squamata,Scincidae,Oligosoma,27.8,,,20.0,20.0,20.0,False,7.1535,8.1192,2.7959,2.4633,B,
Finescale mora,Antimora microlepis,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Antimora,5260.0,,,46.0,46.0,46.0,False,19.1986,18.6867,2.396,2.4616,C,
Demoiselle Crane,Grus virgo,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,2400.0,,,67.0,67.0,67.0,False,16.5616,27.2395,4.0455,2.4597,B,
Marbled gecko,Christinus marmoratus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Christinus,3.405,,12.8,,12.8,12.8,False,4.8172,5.2108,2.6571,2.4564,B,
Minnow,Phoxinus phoxinus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Phoxinus,27.469,13.0,,,13.0,13.0,False,7.1373,5.3008,1.8214,2.4525,B,
Pagai Island Macaque,Macaca pagensis,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,7151.5,,,37.6,37.6,37.6,False,20.3419,15.3485,1.8484,2.4498,B,
Siberut Macaque,Macaca siberu,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,7151.5,,,37.6,37.6,37.6,False,20.3419,15.3485,1.8484,2.4498,B,
Indian black turtle,Melanochelys trijuga,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Melanochelys,760.0,,40.0,,40.0,40.0,False,13.3372,16.3294,2.9991,2.4496,B,
Geoffroy's tailless bat,Anoura geoffroyi,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,15.2,,10.0,,10.0,10.0,False,6.3847,4.0829,1.5662,2.4493,B,
Red-footed Tortoise,Chelonoidis carbonarius,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,2000.0,,,49.0,49.0,49.0,False,16.0026,20.0319,3.062,2.4461,B,
Brown Spider Monkey,Ateles hybridus,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,6692.42,,,37.0,37.0,37.0,False,20.0894,15.1309,1.8418,2.4453,B,
Cacomistle,Bassariscus sumichrasti,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,900.0,,24.0,,24.0,24.0,False,13.7686,9.8257,1.7431,2.4426,B,
Demidoff's galago,Galagoides demidoff,Animalia,Chordata,Mammalia,Primates,Galagidae,Galagoides,60.0,,13.4,,13.4,13.4,False,8.2685,5.4863,1.6206,2.4424,B,
Eastern red scorpionfish,Scorpaena cardinalis,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Scorpaenidae,Scorpaena,1369.82,33.0,,,33.0,33.0,False,14.9019,13.5341,2.2145,2.4383,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Heck's Macaque,Macaca hecki,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,7386.0,,,37.6,37.6,37.6,False,20.4659,15.4554,1.8372,2.4328,B,
"Painted Terrapin, Biuku",Batagur borneoensis,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Batagur,20950.0,,,80.0,80.0,80.0,False,24.9051,32.8995,3.2122,2.4317,B,
Arctic tern,Sterna paradisaea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,110.0,34.0,,,34.0,34.0,False,9.2683,14.0055,3.6684,2.4276,A,
Senegal galago,Galago senegalensis,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,192.2,,17.1,,17.1,17.1,False,10.2952,7.0483,1.661,2.4261,B,
Golden-headed lion tamarin,Leontopithecus chrysomelas,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,535.0,,21.3,,21.3,21.3,False,12.484,8.7853,1.7062,2.4245,B,
Zebrafish,Danio rerio,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Danio,0.8,3.0,5.5,,4.25,5.5,False,3.6673,2.2704,1.4997,2.4224,A,
Ruppel's parrot,Poicephalus rueppellii,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,116.0,,34.3,,34.3,34.3,False,9.3614,14.167,3.664,2.4211,B,
South African galago,Galago moholi,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,169.2,,16.6,,16.6,16.6,False,10.0511,6.8576,1.6516,2.4207,B,
Little golden-mantled flying fox,Pteropus pumilus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,200.0,,17.2,,17.2,17.2,False,10.3726,7.1089,1.6582,2.4195,B,
Black Crested Mangabey,Lophocebus aterrimus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Lophocebus,6768.75,,,36.6833,36.6833,36.6833,False,20.1323,15.1679,1.8221,2.4185,B,
Opdenbosch's Mangabey,Lophocebus opdenboschi,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Lophocebus,6768.75,,,36.6833,36.6833,36.6833,False,20.1323,15.1679,1.8221,2.4185,B,
Northern Pig-tailed Macaque,Macaca leonina,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,7603.39,,,37.6,37.6,37.6,False,20.578,15.5522,1.8272,2.4177,B,
Eurasian eagle-owl,Bubo bubo,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,2800.0,20.0,68.0,,44.0,68.0,False,17.0493,28.1609,3.9884,2.4147,B,
nan,Scorpaena jacksoniensis,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Scorpaenidae,Scorpaena,1427.16,33.0,,,33.0,33.0,False,15.0174,13.6678,2.1975,2.4144,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Crowned lemur,Eulemur coronatus,Animalia,Chordata,Mammalia,Primates,Lemuridae,Eulemur,1645.0,,27.0,,27.0,27.0,False,15.4245,11.1873,1.7505,2.4134,B,
Dunlin,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,52.5,28.8,,,28.8,28.8,False,8.0632,11.9394,3.5718,2.4122,B,
Chacma Baboon,Papio ursinus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,17729.4,,,45.0,45.0,45.0,False,24.1345,18.6601,1.8645,2.4116,B,
Yellow Baboon,Papio cynocephalus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,17851.2,,,45.0,45.0,45.0,False,24.1657,18.6876,1.8621,2.408,B,
Brown parrot,Poicephalus meyeri,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,117.5,,34.2,,34.2,34.2,False,9.3841,14.2063,3.6445,2.4074,B,
Longnose velvet dogfish,Centroselachus crepidater,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Centroselachus,11333.5,54.0,,,54.0,54.0,False,22.1843,22.4629,2.4342,2.404,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Guinea Baboon,Papio papio,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,18000.0,,,45.0,45.0,45.0,False,24.2035,18.721,1.8592,2.4037,B,
Canary Wall Gecko,Tarentola angustimentalis,Animalia,Chordata,Reptilia,Squamata,Phyllodactylidae,Tarentola,5.78,,,14.0,14.0,14.0,False,5.322,5.827,2.6306,2.4026,B,
New holland honeyeater,Phylidonyris novaehollandiae,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,18.5,22.9,,,22.9,22.9,False,6.6254,9.5331,3.4564,2.4022,B,
Antarctic lanternfish,Electrona antarctica,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Electrona,15.0,,,11.0,11.0,11.0,False,6.3688,4.585,1.7272,2.3991,C,
Variable flying fox,Pteropus hypomelanus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,450.0,,20.3,,20.3,20.3,False,12.0839,8.4642,1.6799,2.3983,B,
Sooty tern,Onychoprion fuscatus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,148.0,35.8,,,35.8,35.8,False,9.8009,14.9317,3.6527,2.3976,B,
"Southern pig-tailed macaque, or Pigtail macaque",Macaca nemestrina,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,7912.5,,37.6,,37.6,37.6,False,20.733,15.6861,1.8135,2.397,B,
