common_name,scientific_name,kingdom,phylum,class,order,family,genus,mass_g,wild_yr,captive_yr,colonial,quality,note
Anna's hummingbird,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,4.3,8,,no,B,
Common swift,Apus apus,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,42,21,,no,A,
Sandhill crane,Antigone canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Antigone,4500,25,37,no,B,
Common crane,Grus grus,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,5500,30,43,no,B,
Eurasian coot,Fulica atra,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,800,18,,no,B,
Herring gull,Larus argentatus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,1100,49,44,no,A,
Arctic tern,Sterna paradisaea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,110,34,,no,A,
Atlantic puffin,Fratercula arctica,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,400,41,,no,A,
Common guillemot,Uria aalge,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,1000,43,,no,B,
Bar-tailed godwit,Limosa lapponica,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,300,33,,no,B,
Sanderling,Calidris alba,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,55,13,,no,B,
Great white pelican,Pelecanus onocrotalus,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,10000,25,54,no,B,
Grey heron,Ardea cinerea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,1500,23,25,no,B,
Northern gannet,Morus bassanus,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,3000,37,,no,B,
Great cormorant,Phalacrocorax carbo,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,2500,23,,no,B,
Great frigatebird,Fregata minor,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,1200,44,,no,B,
White stork,Ciconia ciconia,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,3400,39,35,no,B,
Downy woodpecker,Dryobates pubescens,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,27,12,,no,B,
Toco toucan,Ramphastos toco,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,600,20,26,no,B,
Belted kingfisher,Megaceryle alcyon,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,150,6,,no,B,
Great hornbill,Buceros bicornis,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,3000,35,50,no,B,
Common cuckoo,Cuculus canorus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,115,13,,no,B,
Aldabra giant tortoise,Aldabrachelys gigantea,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Aldabrachelys,250000,150,190,no,A,Jonathan on St Helena hatched about 1832
Galapagos tortoise,Chelonoidis niger,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,250000,120,177,no,A,Captive record Harriet
Greek tortoise,Testudo graeca,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,1200,50,127,no,B,
Hermann's tortoise,Testudo hermanni,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,1500,40,90,no,B,
Desert tortoise,Gopherus agassizii,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,4000,50,80,no,B,
Leopard tortoise,Stigmochelys pardalis,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,13000,50,75,no,B,
Eastern box turtle,Terrapene carolina,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,400,50,100,no,B,
Painted turtle,Chrysemys picta,Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,400,55,40,no,B,
Red-eared slider,Trachemys scripta,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,1500,30,41,no,B,
Blanding's turtle,Emydoidea blandingii,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emydoidea,1000,83,,no,A,Negligible senescence reported in long-term field study
Green sea turtle,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,150000,75,50,no,B,
Loggerhead sea turtle,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,110000,67,33,no,B,
Leatherback sea turtle,Dermochelys coriacea,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,400000,45,,no,C,
Common snapping turtle,Chelydra serpentina,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra,10000,47,47,no,B,
Alligator snapping turtle,Macrochelys temminckii,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Macrochelys,80000,45,70,no,B,
American alligator,Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,200000,50,77,no,A,Captive record Muja in Belgrade
Spectacled caiman,Caiman crocodilus,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,40000,30,60,no,B,
Nile crocodile,Crocodylus niloticus,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,220000,45,80,no,B,
Saltwater crocodile,Crocodylus porosus,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,450000,70,,no,B,
Gharial,Gavialis gangeticus,Animalia,Chordata,Reptilia,Crocodilia,Gavialidae,Gavialis,160000,40,60,no,C,
Tuatara,Sphenodon punctatus,Animalia,Chordata,Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon,700,90,100,no,A,Extremely slow metabolism and growth
Ball python,Python regius,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,1500,15,47,no,A,
Burmese python,Python bivittatus,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,50000,20,28,no,B,
Boa constrictor,Boa constrictor,Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,20000,20,40,no,B,
Green anaconda,Eunectes murinus,Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,45000,15,30,no,B,
Corn snake,Pantherophis guttatus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,800,8,32,no,B,
Common garter snake,Thamnophis sirtalis,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,150,6,18,no,B,
Eastern kingsnake,Lampropeltis getula,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,700,15,33,no,B,
Western diamondback rattlesnake,Crotalus atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,1800,20,28,no,B,
European adder,Vipera berus,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,120,15,22,no,B,
Gaboon viper,Bitis gabonica,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,8000,15,25,no,B,
King cobra,Ophiophagus hannah,Animalia,Chordata,Reptilia,Squamata,Elapidae,Ophiophagus,6000,20,22,no,B,
Indian cobra,Naja naja,Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,2000,20,29,no,B,
Komodo dragon,Varanus komodoensis,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,70000,30,32,no,B,
Nile monitor,Varanus niloticus,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,6000,15,20,no,B,
Green iguana,Iguana iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,4000,12,20,no,B,
Rhinoceros iguana,Cyclura cornuta,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura,4500,20,40,no,B,
Central bearded dragon,Pogona vitticeps,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,400,8,18,no,B,
Leopard gecko,Eublepharis macularius,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Eublepharis,60,10,28,no,B,
Tokay gecko,Gekko gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,150,10,18,no,B,
Veiled chameleon,Chamaeleo calyptratus,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,150,5,9,no,B,
Labord's chameleon,Furcifer labordi,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,25,0.6,1,no,A,Shortest lifespan of any tetrapod; most of life spent as an egg
Blue-tongued skink,Tiliqua scincoides,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,500,20,32,no,B,
Gila monster,Heloderma suspectum,Animalia,Chordata,Reptilia,Squamata,Helodermatidae,Heloderma,600,20,36,no,B,
Slow worm,Anguis fragilis,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,25,30,54,no,B,
Olm,Proteus anguinus,Animalia,Chordata,Amphibia,Urodela,Proteidae,Proteus,20,68,100,no,A,Cave salamander; exceptional for its mass
Common mudpuppy,Necturus maculosus,Animalia,Chordata,Amphibia,Urodela,Proteidae,Necturus,200,11,34,no,B,
Japanese giant salamander,Andrias japonicus,Animalia,Chordata,Amphibia,Urodela,Cryptobranchidae,Andrias,25000,55,52,no,B,
Hellbender,Cryptobranchus alleganiensis,Animalia,Chordata,Amphibia,Urodela,Cryptobranchidae,Cryptobranchus,400,30,29,no,B,
Fire salamander,Salamandra salamandra,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,40,20,50,no,B,
Smooth newt,Lissotriton vulgaris,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Lissotriton,4,6,20,no,B,
Eastern newt,Notophthalmus viridescens,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,5,12,15,no,B,
Axolotl,Ambystoma mexicanum,Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,100,15,25,no,B,
Tiger salamander,Ambystoma tigrinum,Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,120,16,25,no,B,
Red-backed salamander,Plethodon cinereus,Animalia,Chordata,Amphibia,Urodela,Plethodontidae,Plethodon,1,25,,no,B,
Two-toed amphiuma,Amphiuma means,Animalia,Chordata,Amphibia,Urodela,Amphiumidae,Amphiuma,500,27,27,no,B,
Greater siren,Siren lacertina,Animalia,Chordata,Amphibia,Urodela,Sirenidae,Siren,400,25,25,no,C,
American bullfrog,Lithobates catesbeianus,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,500,8,16,no,B,
Common frog,Rana temporaria,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,30,10,12,no,B,
Cane toad,Rhinella marina,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,1000,10,24,no,B,
Common toad,Bufo bufo,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,60,12,36,no,B,
American toad,Anaxyrus americanus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,40,10,36,no,B,
Grey treefrog,Hyla versicolor,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,8,7,9,no,B,
Red-eyed treefrog,Agalychnis callidryas,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,10,5,9,no,B,
Dyeing poison frog,Dendrobates tinctorius,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,4,10,20,no,B,
African clawed frog,Xenopus laevis,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,60,15,30,no,A,
African bullfrog,Pyxicephalus adspersus,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,1400,20,45,no,B,
Argentine horned frog,Ceratophrys ornata,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,300,7,15,no,B,
Cayenne caecilian,Typhlonectes compressicauda,Animalia,Chordata,Amphibia,Gymnophiona,Typhlonectidae,Typhlonectes,60,5,12,no,C,
Greenland shark,Somniosus microcephalus,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,700000,392,,no,A,Eye lens radiocarbon dating; longest-lived vertebrate
Whale shark,Rhincodon typus,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,15000000,100,,no,B,Bomb radiocarbon vertebral dating
Nurse shark,Ginglymostoma cirratum,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,90000,25,24,no,B,
Great white shark,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,1000000,73,,no,B,
Shortfin mako,Isurus oxyrinchus,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Isurus,60000,32,,no,B,
Basking shark,Cetorhinus maximus,Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,Cetorhinus,4000000,50,,no,C,
Tiger shark,Galeocerdo cuvier,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,400000,37,,no,B,
Scalloped hammerhead,Sphyrna lewini,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,80000,35,,no,B,
Small-spotted catshark,Scyliorhinus canicula,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,1000,12,20,no,B,
Bluntnose sixgill shark,Hexanchus griseus,Animalia,Chordata,Chondrichthyes,Hexanchiformes,Hexanchidae,Hexanchus,400000,80,,no,C,
Common thornback ray,Raja clavata,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,3000,15,,no,B,
Giant manta ray,Mobula birostris,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,1400000,45,,no,C,
Spotted ratfish,Hydrolagus colliei,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,1500,20,,no,C,
Coelacanth,Latimeria chalumnae,Animalia,Chordata,Sarcopterygii,Coelacanthiformes,Latimeriidae,Latimeria,80000,100,,no,B,Recent scale annuli revision
Rougheye rockfish,Sebastes aleutianus,Animalia,Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes,2500,205,,no,A,Otolith annuli
Yelloweye rockfish,Sebastes ruberrimus,Animalia,Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes,5000,118,,no,A,
Black rockfish,Sebastes melanops,Animalia,Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes,1800,50,,no,B,
Lake sturgeon,Acipenser fulvescens,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,40000,152,,no,A,
Beluga sturgeon,Huso huso,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,300000,118,,no,B,
American paddlefish,Polyodon spathula,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,25000,55,,no,B,
Orange roughy,Hoplostethus atlanticus,Animalia,Chordata,Actinopterygii,Trachichthyiformes,Trachichthyidae,Hoplostethus,1500,149,,no,A,
Alligator gar,Atractosteus spatula,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,45000,95,,no,B,
Arapaima,Arapaima gigas,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,100000,20,20,no,B,
European eel,Anguilla anguilla,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,1000,25,85,no,A,Captive record Putte
Atlantic cod,Gadus morhua,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,10000,25,,no,B,
Sockeye salmon,Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,2500,7,,no,A,Semelparous
Atlantic salmon,Salmo salar,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,4500,13,,no,B,
Brown trout,Salmo trutta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,1000,20,18,no,B,
Lake trout,Salvelinus namaycush,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,5000,62,,no,B,
Koi,Cyprinus rubrofuscus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,4000,30,50,no,B,Hanako's claimed 226 is unverified
Goldfish,Carassius auratus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,100,15,43,no,B,Captive record Tish
Zebrafish,Danio rerio,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Danio,0.8,3,5.5,no,A,
Bigmouth buffalo,Ictiobus cyprinellus,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Ictiobus,15000,112,,no,A,Otolith dating revised this species from 26 to 112 years
Guppy,Poecilia reticulata,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,0.2,2,5,no,B,
Turquoise killifish,Nothobranchius furzeri,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,3,0.4,1,no,A,Shortest-lived vertebrate bred in captivity
Channel catfish,Ictalurus punctatus,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,3000,24,,no,B,
Wels catfish,Silurus glanis,Animalia,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,50000,60,,no,B,
Northern pike,Esox lucius,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,5000,30,,no,B,
European perch,Perca fluviatilis,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,400,22,,no,B,
Nile tilapia,Oreochromis niloticus,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Oreochromis,600,9,12,no,B,
Clownfish,Amphiprion ocellaris,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,25,12,30,no,B,
Atlantic bluefin tuna,Thunnus thynnus,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,250000,40,,no,B,
Atlantic herring,Clupea harengus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,300,22,,no,B,
Atlantic halibut,Hippoglossus hippoglossus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,80000,50,,no,B,
Ocean sunfish,Mola mola,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,1000000,23,,no,C,
Big-belly seahorse,Hippocampus abdominalis,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,20,5,7,no,B,
Ocean quahog,Arctica islandica,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,50,507,,no,A,Ming; shell annuli. Longest-lived non-colonial animal
Giant clam,Tridacna gigas,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,200000,100,,no,B,
Freshwater pearl mussel,Margaritifera margaritifera,Animalia,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,80,190,,no,A,
Eastern oyster,Crassostrea virginica,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,100,20,,no,B,
Blue mussel,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,15,24,,no,B,
Great scallop,Pecten maximus,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten,150,22,,no,B,
Red abalone,Haliotis rufescens,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,700,54,,no,B,
Roman snail,Helix pomatia,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,25,10,35,no,B,
Giant African land snail,Lissachatina fulica,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lissachatina,150,5,9,no,B,
Giant Pacific octopus,Enteroctopus dofleini,Animalia,Mollusca,Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus,15000,5,5,no,A,Semelparous; strikingly low for its mass and brain
Common octopus,Octopus vulgaris,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,3000,2,2,no,A,
Chambered nautilus,Nautilus pompilius,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Nautilus,1300,20,20,no,B,The one long-lived cephalopod; it is not semelparous
Common cuttlefish,Sepia officinalis,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,1000,2,2,no,A,
Longfin inshore squid,Doryteuthis pealeii,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Doryteuthis,200,1,1,no,A,
American lobster,Homarus americanus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,1000,70,,no,B,Negligible senescence claimed but moult-limited
European lobster,Homarus gammarus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,1200,50,,no,C,
Red king crab,Paralithodes camtschaticus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,5000,30,,no,B,
Edible crab,Cancer pagurus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,1500,30,,no,B,
Caribbean spiny lobster,Panulirus argus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,1500,20,,no,B,
Signal crayfish,Pacifastacus leniusculus,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus,80,20,,no,B,
Antarctic krill,Euphausia superba,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,1,6,,no,B,
Black garden ant queen,Lasius niger,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,0.005,15,29,no,A,Laboratory record
Leafcutter ant queen,Atta cephalotes,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,0.05,15,20,no,B,
Honey bee queen,Apis mellifera,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,0.18,4,5,no,A,Same genome as the worker
Honey bee worker,Apis mellifera,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,0.09,0.15,0.15,no,A,Summer worker; caste not genes sets the lifespan
Buff-tailed bumblebee queen,Bombus terrestris,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,0.6,1,1,no,B,
Common wasp,Vespula vulgaris,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,0.08,0.1,0.1,no,B,Worker
Termite queen,Macrotermes bellicosus,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,Macrotermes,0.5,30,,no,B,
American cockroach,Periplaneta americana,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,1,1,2,no,B,
Periodical cicada,Magicicada septendecim,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Magicicada,1.5,17,,no,A,Nearly the whole life is spent underground as a nymph
Monarch butterfly,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,0.5,0.75,1,no,A,Migratory generation
Silkmoth,Bombyx mori,Animalia,Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx,1,0.15,0.15,no,B,
Common fruit fly,Drosophila melanogaster,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,0.001,0.16,0.25,no,A,
Northern house mosquito,Culex pipiens,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,0.0025,0.1,0.3,no,B,
Mealworm beetle,Tenebrio molitor,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,0.15,1,2,no,B,
Stag beetle,Lucanus cervus,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,3,5,6,no,B,Adult stage is only a few months of that
Desert locust,Schistocerca gregaria,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,2,0.5,0.7,no,B,
House cricket,Acheta domesticus,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,0.5,0.25,0.3,no,B,
Emperor dragonfly,Anax imperator,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,1.2,2,,no,B,Mostly as an aquatic nymph
Common mayfly,Ephemera danica,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,0.03,2,,no,A,Two years as a nymph; the winged adult lives about a day
Mexican redknee tarantula,Brachypelma hamorii,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma,20,30,30,no,A,Female
Desert blonde tarantula,Aphonopelma chalcodes,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,25,25,30,no,B,Female
European garden spider,Araneus diadematus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,0.5,1,1,no,B,
Emperor scorpion,Pandinus imperator,Animalia,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,30,8,8,no,B,
Deer tick,Ixodes scapularis,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,0.003,2,3,no,B,
Atlantic horseshoe crab,Limulus polyphemus,Animalia,Arthropoda,Merostomata,Xiphosura,Limulidae,Limulus,1000,20,,no,B,
Giant centipede,Scolopendra gigantea,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,50,10,10,no,C,
Water flea,Daphnia magna,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,0.001,0.1,0.2,no,A,
Brine shrimp,Artemia salina,Animalia,Arthropoda,Branchiopoda,Anostraca,Artemiidae,Artemia,0.01,0.3,0.5,no,B,
Acorn barnacle,Semibalanus balanoides,Animalia,Arthropoda,Thecostraca,Balanomorpha,Archaeobalanidae,Semibalanus,0.5,6,,no,B,
Red sea urchin,Mesocentrotus franciscanus,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,500,200,,no,A,Little evidence of senescence
Common starfish,Asterias rubens,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,80,10,,no,B,
California sea cucumber,Apostichopus californicus,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,400,12,,no,C,
Common earthworm,Lumbricus terrestris,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,4,6,10,no,B,
Medicinal leech,Hirudo medicinalis,Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,5,15,27,no,B,
Cold-seep tubeworm,Lamellibrachia luymesi,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,50,250,,no,B,Growth-rate age estimate; among the longest-lived non-colonial invertebrates
Hydra,Hydra vulgaris,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,0.001,4,4,no,B,No detectable increase in mortality with age under laboratory conditions
Moon jellyfish,Aurelia aurita,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,150,1,1,no,B,Medusa stage only
Snakelocks anemone,Anemonia viridis,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,20,80,,no,C,
Black coral,Leiopathes glaberrima,Animalia,Cnidaria,Anthozoa,Antipatharia,Leiopathidae,Leiopathes,5000,4265,,yes,B,Colony age by radiocarbon; individual polyps live far shorter
Boulder star coral,Orbicella faveolata,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,20000,600,,yes,C,Colony age
Giant barrel sponge,Xestospongia muta,Animalia,Porifera,Demospongiae,Haplosclerida,Petrosiidae,Xestospongia,30000,2300,,yes,C,Colony age estimate from growth rates
Glass sponge,Monorhaphis chuni,Animalia,Porifera,Hexactinellida,Amphidiscosida,Monorhaphididae,Monorhaphis,1000,11000,,yes,C,Spicule growth-ring estimate; the oldest age attributed to any animal
Nematode,Caenorhabditis elegans,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,0.000001,0.055,0.055,no,A,
