common_name,scientific_name,kingdom,phylum,class,order,family,genus,mass_g,wild_yr,captive_yr,colonial,quality,note
White-ear scalyfin,Parma microlepis,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Pomacentridae,Parma,96.6358,37,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Parodon nasus,Parodon nasus,Animalia,Chordata,Actinopterygii,Characiformes,Parodontidae,Parodon,38.9184,7,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
English sole,Parophrys vetulus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,1500,22,,no,C,
Cinnabar goatfish,Parupeneus heptacantha,Animalia,Chordata,Actinopterygii,Mulliformes,Mullidae,Parupeneus,877,6,,no,C,
Adriatic sole,Pegusa impar,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,638.038,12,,no,B,
Atlantic sole,Pegusa lascaris,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,1307.87,15,,no,B,
Marathon minnow,Pelasgus marathonicus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pelasgus,4.98593,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Ohrid minnow,Pelasgus minutus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pelasgus,2.11805,6,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Stymphalia minnow,Pelasgus stymphalicus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pelasgus,17.7471,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Ziege,Pelecus cultratus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pelecus,1100,11,,no,B,
Southern lemon sole,Pelotretis flavilatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Rhombosoleidae,Pelotretis,2022.74,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Silver croaker,Pennahia argentata,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Pennahia,300,6,,no,C,
Longsnout boarfish,Pentaceropsis recurvirostris,Animalia,Chordata,Actinopterygii,Acropomatiformes,Pentacerotidae,Pentaceropsis,2593.58,55,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Pelagic armourhead,Pentaceros richardsoni,Animalia,Chordata,Actinopterygii,Acropomatiformes,Pentacerotidae,Pentaceros,5000,60,,no,C,
Slender armorhead,Pentaceros wheeleri,Animalia,Chordata,Actinopterygii,Acropomatiformes,Pentacerotidae,Pentaceros,1200,11,,no,C,
Gulf butterfish,Peprilus burti,Animalia,Chordata,Actinopterygii,Scombriformes,Stromateidae,Peprilus,222.74,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Yellow perch,Perca flavescens,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,1055.25,12,,no,B,
European perch,Perca fluviatilis,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,400,22,,no,B,
Estuary perch,Percalates colonorum,Animalia,Chordata,Actinopterygii,Centrarchiformes,Percalatidae,Percalates,10000,40,,no,C,
Australian bass,Percalates novemaculeatus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Percalatidae,Percalates,3900,22,,no,C,
Percarina maeotica,Percarina maeotica,Animalia,Chordata,Actinopterygii,Perciformes/Percoidei,Percidae,Percarina,12.7179,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Chinese sleeper,Perccottus glenii,Animalia,Chordata,Actinopterygii,Gobiiformes,Odontobutidae,Perccottus,250,10,,no,C,
Creole perch,Percichthys trucha,Animalia,Chordata,Actinopterygii,Centrarchiformes,Percichthyidae,Percichthys,8160,15,,no,C,
Percilia irwini,Percilia irwini,Animalia,Chordata,Actinopterygii,Centrarchiformes,Perciliidae,Percilia,11.129,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Tangerine darter,Percina aurantiaca,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,48.8656,4.5,,no,B,
Blotchside logperch,Percina burtoni,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,33.7984,4,,no,B,
Logperch,Percina caprodes,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,58.4334,3,,no,B,
Gilt darter,Percina evides,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,6.83139,4,,no,B,
Longhead darter,Percina macrocephala,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,13.7353,4,,no,B,
Blackside darter,Percina maculata,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,4.3,4,,no,B,
Leopard darter,Percina pantherina,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,5.97938,3,,no,B,
Slenderhead darter,Percina phoxocephala,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,8.39759,3,,no,B,
Roanoke logperch,Percina rex,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,27.6163,6,,no,B,
Roanoke darter,Percina roanoka,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,3.56662,3,,no,B,
Dusky darter,Percina sciera,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,17.6459,4,,no,B,
River darter,Percina shumardi,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,3.56662,3,,no,B,
Snail darter,Percina tanasi,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,5.58186,4,,no,B,
Saddleback darter,Percina vigil,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,3.56662,2,,no,B,
Brazilian flathead,Percophis brasiliensis,Animalia,Chordata,Actinopterygii,Perciformes/Percophoidei,Percophidae,Percophis,907.4,19,,no,C,
Trout-perch,Percopsis omiscomaycus,Animalia,Chordata,Actinopterygii,Percopsiformes,Percopsidae,Percopsis,67.486,4,,no,B,
Sand roller,Percopsis transmontana,Animalia,Chordata,Actinopterygii,Percopsiformes,Percopsidae,Percopsis,6.24303,6,,no,B,
Petrocephalus bovei,Petrocephalus bovei,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,30,2.5,,no,C,
Dnieper chub,Petroleuciscus borysthenicus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Petroleuciscus,759.397,8,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Red steenbras,Petrus rupestris,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Petrus,80000,33,,no,C,
White seaperch,Phanerodon furcatus,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Embiotocidae,Phanerodon,513.699,8,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Pile perch,Phanerodon vacca,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Embiotocidae,Phanerodon,2650.31,10,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Suckermouth minnow,Phenacobius mirabilis,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Phenacobius,11.3829,3,,no,B,
Rock gunnel,Pholis gunnellus,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,105.982,5,,no,B,
Phoxinellus pseudalepidotus,Phoxinellus pseudalepidotus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Phoxinellus,15,4,,no,C,
Minnow,Phoxinus phoxinus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Phoxinus,27.469,13,,no,B,
Greater forkbeard,Phycis blennoides,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Phycis,1947,20,,no,B,
Forkbeard,Phycis phycis,Animalia,Chordata,Actinopterygii,Gadiformes,Phycidae,Phycis,3910,5,,no,C,
Common seadragon,Phyllopteryx taeniolatus,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Phyllopteryx,418.453,3.5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Pirapitinga,Piaractus brachypomus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Piaractus,13750,28,,no,B,
Blind catfish,Pimelodella kronei,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Pimelodella,112.01,15,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bluntnose minnow,Pimephales notatus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pimephales,10,5,,no,B,
Fathead minnow,Pimephales promelas,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pimephales,10.3102,2,,no,B,
Rubyfish,Plagiogeneion rubiginosum,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Emmelichthyidae,Plagiogeneion,1625,10,,no,C,
South American silver croaker,Plagioscion squamosissimus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Plagioscion,5100,7,,no,C,
Woundfin,Plagopterus argentissimus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Plagopterus,21.9182,4,,no,B,
Largescale mullet,Planiliza macrolepis,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Planiliza,3816.49,6,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Otomebora mullet,Planiliza melinoptera,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Planiliza,485.998,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Stone flounder,Platichthys bicoloratus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,2254.81,12,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
European flounder,Platichthys flesus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,7700,15,,no,B,
Starry flounder,Platichthys stellatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,5005,24,,no,B,
Southern sand flathead,Platycephalus bassensis,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,3100,21,,no,C,
Deepwater flathead,Platycephalus conatus,Animalia,Chordata,Actinopterygii,Perciformes,Platycephalidae,Platycephalus,4000,20,,no,B,
Longspine flathead,Platycephalus grandispinis,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,347.961,16,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bartail flathead,Platycephalus indicus,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,3500,16,,no,C,
Rock flathead,Platycephalus laevigatus,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,812.488,25,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Tiger flathead,Platycephalus richardsoni,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,3000,12,,no,C,
Southern bluespotted flathead,Platycephalus speculator,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,4995.85,12,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Platycephalus westraliae,Platycephalus westraliae,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Platycephalus,2050.93,8,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Ayu,Plecoglossus altivelis,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Plecoglossus,1887.99,3,,no,B,
Sordid rubberlip,Plectorhinchus sordidus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Haemulidae,Plectorhinchus,2876.68,14,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Squaretail coralgrouper,Plectropomus areolatus,Animalia,Chordata,Actinopterygii,Perciformes/Serranoidei,Epinephelidae,Plectropomus,7004.74,14,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Blacksaddled coralgrouper,Plectropomus laevis,Animalia,Chordata,Actinopterygii,Perciformes/Serranoidei,Epinephelidae,Plectropomus,24200,20,,no,C,
Bluedotted coraltrout,Plectropomus leopardus,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus,12980,26,,no,B,
Spotted coralgrouper,Plectropomus maculatus,Animalia,Chordata,Actinopterygii,Perciformes/Serranoidei,Epinephelidae,Plectropomus,25000,12,,no,C,
Roving coralgrouper,Plectropomus pessuliferus,Animalia,Chordata,Actinopterygii,Perciformes/Serranoidei,Epinephelidae,Plectropomus,24027.6,19,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Antarctic silverfish,Pleuragramma antarcticum,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Pleuragramma,110,20,,no,B,
Okhotsk atka mackerel,Pleurogrammus azonus,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Hexagrammidae,Pleurogrammus,1830,12,,no,C,
Atka mackerel,Pleurogrammus monopterygius,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Hexagrammidae,Pleurogrammus,2000,15,,no,C,
Plaice,Pleuronectes platessa,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,3850,50,,no,B,
Alaska plaice,Pleuronectes quadrituberculatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,3500,37,,no,C,
Diamond turbot,Pleuronichthys guttulatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,1678.42,9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Blacktip sea catfish,Plicofollis dussumieri,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Plicofollis,1400,7,,no,C,
Striped eel-catfish,Plotosus lineatus,Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae,Plotosus,85.88,7,,no,B,
Podothecus sturioides,Podothecus sturioides,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Agonidae,Podothecus,192,6,,no,C,
Guppy,Poecilia reticulata,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,0.2,2,5,no,B,
Gila topminnow,Poeciliopsis occidentalis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,2.84049,1,,no,B,
Black drum,Pogonias cromis,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pogonias,28215,43,,no,B,
Splittail,Pogonichthys macrolepidotus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pogonichthys,991.051,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
European pollock,Pollachius pollachius,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,9955,8,,no,B,
Pollock,Pollachius virens,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,17600,25,,no,B,
Mormyrid,Pollimyrus isidori,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,4,29,,no,B,
King threadfin,Polydactylus macrochir,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Polydactylus,24750,20,,no,B,
Stout beardfish,Polymixia nobilis,Animalia,Chordata,Actinopterygii,Polymixiiformes,Polymixiidae,Polymixia,1552.29,14,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Polymixia yuri,Polymixia yuri,Animalia,Chordata,Actinopterygii,Polymixiiformes,Polymixiidae,Polymixia,145.411,9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
American paddlefish,Polyodon spathula,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,25000,55,,no,B,
Wreckfish,Polyprion americanus,Animalia,Chordata,Actinopterygii,Acropomatiformes,Polyprionidae,Polyprion,100000,80,,no,C,
Hapuka,Polyprion oxygeneios,Animalia,Chordata,Actinopterygii,Perciformes,Polyprionidae,Polyprion,55000,60,,no,B,
Seventyfour seabream,Polysteganus undulosus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Polysteganus,16000,20,,no,C,
Emperor angelfish,Pomacanthus imperator,Animalia,Chordata,Actinopterygii,Acanthuriformes,Pomacanthidae,Pomacanthus,1761.02,14,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Yellowbar angelfish,Pomacanthus maculosus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Pomacanthidae,Pomacanthus,4361.17,36,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bluegirdled angelfish,Pomacanthus navarchus,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,476.229,15,,no,B,
French angelfish,Pomacanthus paru,Animalia,Chordata,Actinopterygii,Acanthuriformes,Pomacanthidae,Pomacanthus,1933.21,27,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Silver grunt,Pomadasys argenteus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Haemulidae,Pomadasys,4349.01,19,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bastard grunt,Pomadasys incisus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Haemulidae,Pomadasys,137,7,,no,C,
Striped grunter,Pomadasys striatus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Haemulidae,Pomadasys,212.455,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bluefish,Pomatomus saltatrix,Animalia,Chordata,Actinopterygii,Perciformes,Pomatomidae,Pomatomus,7920,9,,no,B,
Two-spotted goby,Pomatoschistus flavescens,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,1.59721,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Lozano's goby,Pomatoschistus lozanoi,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,3.84082,2,,no,B,
Marbled goby,Pomatoschistus marmoratus,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,2.88,2,,no,B,
Common goby,Pomatoschistus microps,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,6.74632,2.6,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Freckled goby,Pomatoschistus minutus,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,9.46776,3,,no,B,
Painted goby,Pomatoschistus pictus,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,1.8152,2,,no,B,
White crappie,Pomoxis annularis,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,1292.5,10,,no,B,
Black crappie,Pomoxis nigromaculatus,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,1496,15,,no,B,
Syrman goby,Ponticola syrman,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Ponticola,189.237,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Mottled scorpionfish,Pontinus clemensi,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Scorpaenidae,Pontinus,3504.5,8,,no,C,
Offshore rockfish,Pontinus kuhlii,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Scorpaenidae,Pontinus,606.5,18,,no,C,
Plainfin midshipman,Porichthys notatus,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,537.676,7,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Crested bigscale,Poromitra crassiceps,Animalia,Chordata,Actinopterygii,Beryciformes,Melamphaidae,Poromitra,69.704,8.5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Australian freshwater herring,Potamalosa richmondia,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Potamalosa,230,11,,no,B,
Red bigeye,Priacanthus macracanthus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Priacanthidae,Priacanthus,588.479,6.1,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Striped searobin,Prionotus evolans,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Triglidae,Prionotus,1550,7,,no,C,
Ornate jobfish,Pristipomoides argyrogrammicus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Lutjanidae,Pristipomoides,1758.97,6,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Goldflag jobfish,Pristipomoides auricilla,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Lutjanidae,Pristipomoides,1113.2,7,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Crimson jobfish,Pristipomoides filamentosus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,4484.7,18,,no,B,
Golden eye jobfish,Pristipomoides flavipinnis,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Lutjanidae,Pristipomoides,3039,11,,no,C,
Goldbanded jobfish,Pristipomoides multidens,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,4250,30,,no,B,
Sharptooth jobfish,Pristipomoides typus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,1210,11,,no,B,
Oblique-banded snapper,Pristipomoides zonatus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Lutjanidae,Pristipomoides,1812,13,,no,C,
Brazilian bocachico,Prochilodus brevis,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,540,5,,no,C,
Streaked prochilod,Prochilodus lineatus,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,7200,5,,no,C,
Rock carp,Procypris rabaudi,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Procypris,4500,8,,no,C,
Roudi escolar,Promethichthys prometheus,Animalia,Chordata,Actinopterygii,Scombriformes,Gempylidae,Promethichthys,8795.51,11,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Roughtongue bass,Pronotogrammus martinicensis,Animalia,Chordata,Actinopterygii,Perciformes/Serranoidei,Anthiadidae,Pronotogrammus,90,15,,no,C,
Prosomyleus rhomboidalis,Prosomyleus rhomboidalis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Prosomyleus,5000,5,,no,C,
Pygmy whitefish,Prosopium coulterii,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,159.984,9,,no,B,
Round whitefish,Prosopium cylindraceum,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,1498,16,,no,B,
Bonneville cisco,Prosopium gemmifer,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,72.7416,6,,no,B,
Bonneville whitefish,Prosopium spilonotus,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,1354.65,8,,no,B,
Mountain whitefish,Prosopium williamsoni,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,1606,17,,no,B,
Arctic telescope,Protomyctophum arcticum,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Protomyctophum,3.91466,1.25,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Blackspotted croaker,Protonibea diacanthus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Protonibea,52200.6,8,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Australian grayling,Prototroctes maraena,Animalia,Chordata,Actinopterygii,Osmeriformes,Retropinnidae,Prototroctes,186,6,,no,B,
Banded astyanax,Psalidodon fasciatus,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Psalidodon,109.1,3.5,,no,C,
Pacific rudderfish,Psenopsis anomala,Animalia,Chordata,Actinopterygii,Scombriformes,Centrolophidae,Psenopsis,254.31,4,,no,C,
Pacific redfin,Pseudaspius brandtii,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pseudaspius,1500,10,,no,C,
Big-scaled redfin,Pseudaspius hakonensis,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pseudaspius,1500,8,,no,C,
Redfin,Pseudaspius leptocephalus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pseudaspius,3700,20,,no,C,
Eastern Cape redfin,Pseudobarbus afer,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,8.92717,6,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Smallscale redfin,Pseudobarbus asper,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,12.1526,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Burchell's redfin,Pseudobarbus burchelli,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,53.982,6,,no,B,
Stout blacksmelt,Pseudobathylagus milleri,Animalia,Chordata,Actinopterygii,Argentiniformes,Bathylagidae,Pseudobathylagus,88.4584,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
White trevally,Pseudocaranx dentex,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Pseudocaranx,9955,49,,no,B,
Iberian nase,Pseudochondrostoma polylepis,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pseudochondrostoma,1565.86,7,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Southern mouthbrooder,Pseudocrenilabrus philander,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,25.6102,5,,no,B,
Smooth oreo,Pseudocyttus maculatus,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Pseudocyttus,2750,100,,no,B,
Pisidian spring minnow,Pseudophoxinus fahrettini,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pseudophoxinus,246,4,,no,C,
Barred sorubim,Pseudoplatystoma fasciatum,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,70000,8.7,,no,C,
Tiger sorubim,Pseudoplatystoma tigrinum,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,19750,18,,no,C,
Winter flounder,Pseudopleuronectes americanus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,1980,14,,no,B,
Yellow striped flounder,Pseudopleuronectes herzensteini,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,1300,15,,no,C,
Marbled flounder,Pseudopleuronectes yokohamae,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,1900,10,,no,C,
Stone moroko,Pseudorasbora parva,Animalia,Chordata,Actinopterygii,Cypriniformes,Gobionidae,Pseudorasbora,6.3,5,,no,C,
Largetooth flounder,Pseudorhombus arsius,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Pseudorhombus,986.625,7,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Cinnamon flounder,Pseudorhombus cinnamoneus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Pseudorhombus,850.244,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
